Symbol,Security,Sector,Industry,MarketCap,MarketCap_Display
WAT,Waters Corp,Healthcare,Diagnostics & Research,35125006336.0,35.13B
KVUE,Kenvue Inc,Consumer Defensive,Household & Personal Products,34617950208.0,34.62B
MLM,Martin Marietta Materials Inc,Basic Materials,Building Materials,34288011264.0,34.29B
SATS,EchoStar,Communication Services,Telecom Services,33639174144.0,33.64B
MTB,M&T Bank Corp,Financial Services,Banks - Regional,33738012672.0,33.74B
KMB,Kimberly-Clark Corp,Consumer Defensive,Household & Personal Products,33685307392.0,33.69B
ROP,Roper Technologies Inc,Technology,Software - Application,33729609728.0,33.73B
CASY,Casey's General Stores,Consumer Cyclical,Specialty Retail,33637128192.0,33.64B
ZTS,Zoetis Inc,Healthcare,Drug Manufacturers - Specialty & Generic,33536155648.0,33.54B
LVS,Las Vegas Sands Corp,Consumer Cyclical,Resorts & Casinos,33456558080.0,33.46B
HAL,Halliburton Co,Energy,Oil & Gas Equipment & Services,33257938944.0,33.26B
EQT,EQT Corp,Energy,Oil & Gas E&P,32662462464.0,32.66B
KLAC,KLA Corp,Technology,Semiconductor Equipment & Materials,318135762944.0,318.14B
NTRS,Northern Trust Corp,Financial Services,Asset Management,32185270272.0,32.19B
EL,Estee Lauder Cos Inc/The,Consumer Defensive,Household & Personal Products,32085780480.0,32.09B
EXR,Extra Space Storage Inc,Real Estate,REIT - Industrial,33288368128.0,33.29B
ACGL,Arch Capital Group Ltd,Financial Services,Insurance - Diversified,31752525824.0,31.75B
